page,diet_code,diet_codes,diet_label,note,meal_cost,group_kcal,group_plg_g,group_plg_pct,day_key,day_label,meal,meal_time,slot,item_index,dish_full,dish_name,portion
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,breakfast,6h,main,1,"Phở bò: Phở: 150g, thịt bò: 50g, xương ống: 20g, hành lá, rau mùi, gia vị",Phở bò,"Phở: 150g, thịt bò: 50g, xương ống: 20g, hành lá, rau mùi, gia vị"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,lunch,11h,rice,1,Gạo tám Lào: 150g,Gạo tám Lào,150g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,lunch,11h,vegetable,1,Củ cải luộc: 200g,Củ cải luộc,200g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,lunch,11h,protein,1,"Cá trắm rán xốt cà chua: 140g, 20g",Cá trắm rán xốt cà chua,"140g, 20g"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,lunch,11h,protein,2,"Thịt lợn xào hành tây, cà rốt: 70g, 10g, 10g","Thịt lợn xào hành tây, cà rốt","70g, 10g, 10g"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,lunch,11h,soup,1,"Canh cải xanh nấu thịt nạc: 20g, 10g",Canh cải xanh nấu thịt nạc,"20g, 10g"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,dinner,17h,rice,1,Gạo tám Lào: 150g,Gạo tám Lào,150g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,dinner,17h,vegetable,1,Cải bắp xào: 200g,Cải bắp xào,200g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,dinner,17h,protein,1,Thịt lợn vai quay mềm: 120g,Thịt lợn vai quay mềm,120g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,dinner,17h,protein,2,"Ức gà xào hành tây, cà rốt: 60g, 10g, 10g","Ức gà xào hành tây, cà rốt","60g, 10g, 10g"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,mon,Thứ 2,dinner,17h,soup,1,"Canh bí xanh nấu thịt nạc: 30g, 10g",Canh bí xanh nấu thịt nạc,"30g, 10g"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,tue,Thứ 3,breakfast,6h,main,1,"Bún thịt ngan: Bún: 150g, thịt ngan: 60g, xương ống: 20g, hành lá, rau mùi, gia vị",Bún thịt ngan,"Bún: 150g, thịt ngan: 60g, xương ống: 20g, hành lá, rau mùi, gia vị"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,tue,Thứ 3,lunch,11h,rice,1,Gạo tám Lào: 150g,Gạo tám Lào,150g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,tue,Thứ 3,lunch,11h,vegetable,1,Cải chíp luộc: 200g,Cải chíp luộc,200g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,tue,Thứ 3,lunch,11h,protein,1,"Thịt bò xào cần tỏi tây, hành tây: 60g, 20g, 10g","Thịt bò xào cần tỏi tây, hành tây","60g, 20g, 10g"
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,tue,Thứ 3,lunch,11h,protein,2,Đậu phụ rán: 80g,Đậu phụ rán,80g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,tue,Thứ 3,lunch,11h,protein,3,Lạc rim: 50g,Lạc rim,50g
1,BT01-CƠM,BT01-CƠM,Cơm thông thường (chuẩn),,85.680đ,1771,83g :58g :230g,21% :21% :58%,tue,Thứ 3,lunch,11h,soup,1,"Canh cải bắp nấu cà chua: 20g, 10g",Canh cải bắp nấu cà chua,"20g, 10g"
